Instrument,Company_Common_Name,TRBC_Economic_Sector_Name,TRBC_Business_Sector_Name,TRBC_Industry_Group_Name,TRBC_Industry_Name,TRBC_Activity_Name,TRBC_Economic_Sector_Code,TRBC_Business_Sector_Code,TRBC_Industry_Group_Code,TRBC_Industry_Code,TRBC_Activity_Code
Q11.D,Viromed Medical AG,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals (NEC),56,5620,562010,56201040,5620104010
9Z2.D,Aurasol AG,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies (NEC),55,5560,556010,55601010,5560101010
MTXGn.DE,MTU Aero Engines AG,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Aircraft Parts Manufacturing,52,5210,521010,52101010,5210101014
AQP1.D,Action Press AG,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Advertising & Marketing,Advertising & Marketing (NEC),53,5330,533020,53302010,5330201010
E8XG.DE,Elexxion AG,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,Advanced Medical Equipment & Technology (NEC),56,5610,561010,56101010,5610101010
MNVG.F,Mainova AG,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010
ADVG.DE,Adtran Networks SE,Technology,Technology Equipment,Communications & Networking,Communications & Networking,Communications & Networking (NEC),57,5710,571020,57102010,5710201010
VAHN.S,Vaudoise Assurances Holding SA,Financials,Insurance,Insurance,Property & Casualty Insurance,Property & Casualty Insurance (NEC),55,5530,553010,55301020,5530102010
SAPG.DE,SAP SE,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
BYWG.DE,BayWa AG,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Fishing & Farming,Fishing & Farming Wholesale,54,5410,541020,54102010,5410201026
WIGGk.DE,Sporttotal AG,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Entertainment Production,Entertainment Production (NEC),53,5330,533020,53302030,5330203010
BAYGn.DE,Bayer AG,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals (NEC),56,5620,562010,56201040,5620104010
RWEG.DE,RWE AG,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010
MLBMD.EUA,Beaconsmind AG,Technology,Software & IT Services,Software & IT Services,Software,Application Software,57,5720,572010,57201020,5720102012
HP3An.DE,Ringmetall SE,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment (NEC),52,5210,521020,52102010,5210201010
IFNNY.PK,Infineon Technologies AG,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Semiconductors (NEC),57,5710,571010,57101010,5710101010
PNEGn.DE,PNE AG,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011
OSPGk.DE,USU Software AG,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
4NJ.D,Deutsche Payment A1M SE,Technology,Software & IT Services,Software & IT Services,Online Services,E-commerce & Auction Services,57,5720,572010,57201030,5720103013
3D6.DE,Avemio AG,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Entertainment Production,Entertainment Production Equipment & Services,53,5330,533020,53302030,5330203014
VOWG_p.DE,Volkswagen AG,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers,Auto & Truck Manufacturers (NEC),53,5310,531010,53101010,5310101010
EONGn.DE,E ON SE,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010
A7AGn.DE,Finlab AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Venture Capital,55,5510,551020,55102020,5510202015
STRV.VI,STRABAG SE,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010
SHSGk.F,SHS Viveon AG,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
HHFGn.DE,Hamburger Hafen und Logistik AG,Industrials,Transportation,Transport Infrastructure,Marine Port Services,Marine Port Services (NEC),52,5240,524070,52407020,5240702010
EVE.S,Evolva Holding SA,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),56,5620,562020,56202010,5620201010
KTCG.VI,Kapsch Trafficcom AG,Technology,Technology Equipment,Communications & Networking,Communications & Networking,Communications & Networking (NEC),57,5710,571020,57102010,5710201010
IMPN.S,Implenia AG,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010
DBANn.DE,Deutsche Beteiligungs AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
C3RY.DE,Cherry SE,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Computer Hardware,Output Devices,57,5710,571060,57106010,5710601015
HPHA.DE,Heidelberg Pharma AG,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Bio Therapeutic Drugs,56,5620,562020,56202010,5620201011
TIONG.DE,Tion Renewables AG,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023
MBGn.DE,Mercedes Benz Group AG,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers,Auto & Truck Manufacturers (NEC),53,5310,531010,53101010,5310101010
PBYG.DE,Publity AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations",Office Real Estate Rental & Development,60,6010,601010,60101010,6010101020
9TS.D,Tubesolar AG,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Photovoltaic Solar Systems & Equipment,50,5020,502010,50201010,5020101013
HDDG.DE,Heidelberger Druckmaschinen AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery,52,5210,521020,52102010,5210201012
CLXN.S,Crealogix Holding AG,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech),Financial Technology (Fintech) (NEC),57,5730,573010,57301010,5730101010
